Part Instance,Node ID,Attached elements,Values,Measurement Type,Element Type,Interpolation Type,Element Size
OSSO-4,B,117,0.0041572,"U, Magnitude",tri,quad,10.0
OSSO-4,B,122,0.0041572,"U, Magnitude",tri,quad,10.0
OSSO-4,C,10,0.00546603,"U, Magnitude",tri,quad,10.0
OSSO-4,C,44,0.00546603,"U, Magnitude",tri,quad,10.0
OSSO-4,C,55,0.00546603,"U, Magnitude",tri,quad,10.0
OSSO-4,D,4,0.00117846,"U, Magnitude",tri,quad,10.0
OSSO-4,D,65,0.00117846,"U, Magnitude",tri,quad,10.0
OSSO-4,D,72,0.00117846,"U, Magnitude",tri,quad,10.0
OSSO-4,D,76,0.00117846,"U, Magnitude",tri,quad,10.0
OSSO-4,A,1567,0.0025723,"U, Magnitude",tri,lin,1.0
OSSO-4,A,1696,0.0025723,"U, Magnitude",tri,lin,1.0
OSSO-4,A,1741,0.0025723,"U, Magnitude",tri,lin,1.0
OSSO-4,B,1198,0.00419892,"U, Magnitude",tri,lin,1.0
OSSO-4,B,1579,0.00419892,"U, Magnitude",tri,lin,1.0
OSSO-4,B,1865,0.00419892,"U, Magnitude",tri,lin,1.0
OSSO-4,C,250,0.00553283,"U, Magnitude",tri,lin,1.0
OSSO-4,C,1998,0.00553283,"U, Magnitude",tri,lin,1.0
OSSO-4,C,2019,0.00553283,"U, Magnitude",tri,lin,1.0
OSSO-4,D,1645,0.00119764,"U, Magnitude",tri,lin,1.0
OSSO-4,D,1708,0.00119764,"U, Magnitude",tri,lin,1.0
OSSO-4,D,1909,0.00119764,"U, Magnitude",tri,lin,1.0
OSSO-4,A,38,0.216644,"S, Mises",tri,quad,5.0
OSSO-4,A,130,0.216644,"S, Mises",tri,quad,5.0
OSSO-4,A,149,0.216644,"S, Mises",tri,quad,5.0
OSSO-4,B,97,0.182008,"S, Mises",tri,quad,5.0
OSSO-4,B,136,0.182008,"S, Mises",tri,quad,5.0
OSSO-4,B,138,0.182008,"S, Mises",tri,quad,5.0
OSSO-4,C,11,0.109929,"S, Mises",tri,quad,5.0
OSSO-4,C,147,0.109929,"S, Mises",tri,quad,5.0
OSSO-4,C,278,0.109929,"S, Mises",tri,quad,5.0
OSSO-4,D,125,0.0957927,"S, Mises",tri,quad,5.0
OSSO-4,D,244,0.0957927,"S, Mises",tri,quad,5.0
OSSO-4,D,416,0.0957927,"S, Mises",tri,quad,5.0
OSSO-4,A,43,0.215024,"S, Mises",quad,quad,3.0
OSSO-4,A,65,0.215024,"S, Mises",quad,quad,3.0
OSSO-4,B,50,0.178571,"S, Mises",quad,quad,3.0
OSSO-4,B,85,0.178571,"S, Mises",quad,quad,3.0
OSSO-4,C,57,0.106985,"S, Mises",quad,quad,3.0
OSSO-4,C,90,0.106985,"S, Mises",quad,quad,3.0
OSSO-4,D,32,0.089571,"S, Mises",quad,quad,3.0
OSSO-4,D,66,0.089571,"S, Mises",quad,quad,3.0
OSSO-4,A,22,0.0027428,"U, Magnitude",quad,lin,10.0
OSSO-4,A,38,0.0027428,"U, Magnitude",quad,lin,10.0
OSSO-4,B,52,0.00451393,"U, Magnitude",quad,lin,10.0
OSSO-4,B,58,0.00451393,"U, Magnitude",quad,lin,10.0
OSSO-4,C,10,0.0061508,"U, Magnitude",quad,lin,10.0
OSSO-4,C,11,0.0061508,"U, Magnitude",quad,lin,10.0
OSSO-4,D,4,0.0012179,"U, Magnitude",quad,lin,10.0
OSSO-4,D,28,0.0012179,"U, Magnitude",quad,lin,10.0
OSSO-4,A,38,0.00257335,"U, Magnitude",tri,quad,5.0
OSSO-4,A,130,0.00257335,"U, Magnitude",tri,quad,5.0
OSSO-4,A,149,0.00257335,"U, Magnitude",tri,quad,5.0
OSSO-4,B,97,0.00420032,"U, Magnitude",tri,quad,5.0
OSSO-4,B,136,0.00420032,"U, Magnitude",tri,quad,5.0
OSSO-4,B,138,0.00420032,"U, Magnitude",tri,quad,5.0
OSSO-4,C,11,0.00553211,"U, Magnitude",tri,quad,5.0
OSSO-4,C,147,0.00553211,"U, Magnitude",tri,quad,5.0
OSSO-4,C,278,0.00553211,"U, Magnitude",tri,quad,5.0
OSSO-4,D,125,0.00119777,"U, Magnitude",tri,quad,5.0
OSSO-4,D,244,0.00119777,"U, Magnitude",tri,quad,5.0
OSSO-4,D,416,0.00119777,"U, Magnitude",tri,quad,5.0
OSSO-4,A,59,0.0025836,"U, Magnitude",quad,quad,2.0
OSSO-4,A,372,0.0025836,"U, Magnitude",quad,quad,2.0
OSSO-4,B,373,0.0042153,"U, Magnitude",quad,quad,2.0
OSSO-4,B,441,0.0042153,"U, Magnitude",quad,quad,2.0
OSSO-4,C,128,0.00555439,"U, Magnitude",quad,quad,2.0
OSSO-4,C,377,0.00555439,"U, Magnitude",quad,quad,2.0
OSSO-4,D,209,0.00120494,"U, Magnitude",quad,quad,2.0
OSSO-4,D,397,0.00120494,"U, Magnitude",quad,quad,2.0
OSSO-4,A,34,0.25008,"S, Mises",quad,lin,5.0
OSSO-4,A,97,0.25008,"S, Mises",quad,lin,5.0
OSSO-4,B,65,0.146897,"S, Mises",quad,lin,5.0
OSSO-4,B,77,0.146897,"S, Mises",quad,lin,5.0
OSSO-4,C,10,0.0917792,"S, Mises",quad,lin,5.0
OSSO-4,C,40,0.0917792,"S, Mises",quad,lin,5.0
OSSO-4,D,73,0.151761,"S, Mises",quad,lin,5.0
OSSO-4,D,87,0.151761,"S, Mises",quad,lin,5.0
OSSO-4,A,48,0.00250024,"U, Magnitude",tri,lin,3.0
OSSO-4,A,104,0.00250024,"U, Magnitude",tri,lin,3.0
